time,Temp Max (°C),Rain Chance (%),Rain Amount (mm),Forecast Run Date
2025-05-07,15.1,,0.0,2025-05-21
2025-05-08,15.4,,0.0,2025-05-21
2025-05-09,18.3,,0.0,2025-05-21
2025-05-10,17.3,,0.2,2025-05-21
2025-05-11,17.8,,0.0,2025-05-21
2025-05-12,17.9,,0.0,2025-05-21
2025-05-13,20.7,,0.0,2025-05-21
2025-05-14,21.9,,0.0,2025-05-21
2025-05-15,14.4,,0.6,2025-05-21
2025-05-16,16.6,,0.5,2025-05-21
2025-05-17,15.9,,1.2,2025-05-21
2025-05-18,13.8,,2.1,2025-05-21
2025-05-19,15.2,,0.9,2025-05-21
2025-05-20,10.5,,,2025-05-21
2025-05-21,,,,2025-05-21
